avg_key_interval,min_key_interval,max_key_interval,key_presses_count,avg_mouse_speed,min_mouse_speed,max_mouse_speed,mouse_moves_count,system_time,active_application,window_title,ip_address,public_ip,download_bytes,upload_bytes,city,country
0.1,0.1,0.1,0,0,0,0,0,00:42:24,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7629,1831,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:26,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,12118,4801,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:28,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,23180,7325,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:30,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,11424,2460,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:32,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7669,1867,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:34,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7099,1689,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:36,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,14605,2968,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:38,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7644,2428,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:41,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,8365,2326,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:42,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6757,1744,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:44,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7998,1852,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:46,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,5939,1907,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:48,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6502,1786,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:50,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6592,1744,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:52,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6599,2222,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:54,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,12139,2372,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:56,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7204,1907,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:42:58,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6556,1886,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:00,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,5828,1689,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:04,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,10743,5866,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:06,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,9324,2168,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:08,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7980,2628,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:10,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6758,1689,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:12,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,8540,2539,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:14,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,12032,13146,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:16,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,9833,4731,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:18,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,8289,1897,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:20,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7139,1828,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:22,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6239,2209,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:24,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7157,1689,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:26,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7440,1944,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:28,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6645,2375,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:30,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7996,2681,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:32,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,8384,2723,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:36,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,10301,4875,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:38,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,9023,2622,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:41,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,9553,2689,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:44,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,10159,3226,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:48,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,9886,2586,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:50,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,11170,2269,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:53,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,10020,3480,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:56,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,18219,15934,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:43:58,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6964,2186,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:01,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,9511,2841,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:04,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,14247,3041,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:07,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,8737,3149,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:10,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,9569,6247,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:13,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,21879,7676,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:17,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,10390,3563,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:20,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,10555,3285,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:23,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,8950,3399,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:26,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,12130,2948,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:29,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,8250,2086,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:32,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,12402,4275,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:36,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,14934,4680,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:39,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,16686,6317,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:43,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,11429,3280,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:45,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,8604,1743,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:47,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6750,2031,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:49,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6181,1743,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:51,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,9003,2079,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:53,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7876,2015,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:55,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,5770,1689,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:57,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,8617,2015,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:44:59,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,11713,2299,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:01,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7706,1832,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:03,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,8543,1908,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:05,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,9737,10893,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:07,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,9206,2197,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:09,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6451,2437,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:11,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7446,1689,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:13,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6308,1949,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:15,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6068,1689,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:17,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,9384,8325,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:18,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7657,1990,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:20,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,5558,1744,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:22,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,8080,1689,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:24,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7887,1907,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:26,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,5896,1921,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:28,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7963,1907,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:30,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,8819,1813,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:32,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7204,1849,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:34,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6976,1961,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:36,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,5911,2215,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:38,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,7860,2319,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:40,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,6426,1973,Zagazig,Egypt
0.1,0.1,0.1,0,0,0,0,0,00:45:42,Visual Studio Code,active_collector.py - sentinelX - Visual Studio Code,192.168.56.1,197.120.79.137,9583,12026,Zagazig,Egypt
